StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment
04,Arizona,04001,Apache,2005,49,
04,Arizona,04001,Apache,2006,34,
04,Arizona,04001,Apache,2007,Suppressed,
04,Arizona,04001,Apache,2008,34,
04,Arizona,04001,Apache,2009,40,
04,Arizona,04001,Apache,2010,33,
04,Arizona,04001,Apache,2011,45,
04,Arizona,04001,Apache,2012,37,
04,Arizona,04001,Apache,2013,17,
04,Arizona,04001,Apache,2014,17,
04,Arizona,04001,Apache,2015,20,
04,Arizona,04001,Apache,2016,15,
04,Arizona,04001,Apache,2017,11,
04,Arizona,04001,Apache,2018,16,
04,Arizona,04001,Apache,2019,13,
04,Arizona,04001,Apache,2020,12,
04,Arizona,04001,Apache,2021,11,
04,Arizona,04001,Apache,2022,10,
04,Arizona,04001,Apache,2023,12,
04,Arizona,04003,Cochise,2005,161,
04,Arizona,04003,Cochise,2006,146,
04,Arizona,04003,Cochise,2007,125,
04,Arizona,04003,Cochise,2008,119,
04,Arizona,04003,Cochise,2009,156,
04,Arizona,04003,Cochise,2010,145,
04,Arizona,04003,Cochise,2011,118,
04,Arizona,04003,Cochise,2012,140,
04,Arizona,04003,Cochise,2013,129,
04,Arizona,04003,Cochise,2014,96,
04,Arizona,04003,Cochise,2015,82,
04,Arizona,04003,Cochise,2016,77,
04,Arizona,04003,Cochise,2017,53,
04,Arizona,04003,Cochise,2018,68,
04,Arizona,04003,Cochise,2019,57,
04,Arizona,04003,Cochise,2020,25,
04,Arizona,04003,Cochise,2021,38,
04,Arizona,04003,Cochise,2022,56,
04,Arizona,04003,Cochise,2023,32,
04,Arizona,04005,Coconino,2005,97,
04,Arizona,04005,Coconino,2006,96,
04,Arizona,04005,Coconino,2007,107,
04,Arizona,04005,Coconino,2008,90,
04,Arizona,04005,Coconino,2009,92,
04,Arizona,04005,Coconino,2010,95,
04,Arizona,04005,Coconino,2011,80,
04,Arizona,04005,Coconino,2012,92,
04,Arizona,04005,Coconino,2013,86,
04,Arizona,04005,Coconino,2014,74,
04,Arizona,04005,Coconino,2015,57,
04,Arizona,04005,Coconino,2016,25,
04,Arizona,04005,Coconino,2017,17,
04,Arizona,04005,Coconino,2018,33,
04,Arizona,04005,Coconino,2019,25,
04,Arizona,04005,Coconino,2020,22,
04,Arizona,04005,Coconino,2021,26,
04,Arizona,04005,Coconino,2022,37,
04,Arizona,04005,Coconino,2023,40,
04,Arizona,04007,Gila,2005,67,
04,Arizona,04007,Gila,2006,40,
04,Arizona,04007,Gila,2007,53,
04,Arizona,04007,Gila,2008,58,
04,Arizona,04007,Gila,2009,64,
04,Arizona,04007,Gila,2010,39,
04,Arizona,04007,Gila,2011,59,
04,Arizona,04007,Gila,2012,52,
04,Arizona,04007,Gila,2013,37,
04,Arizona,04007,Gila,2014,36,
04,Arizona,04007,Gila,2015,42,
04,Arizona,04007,Gila,2016,24,
04,Arizona,04007,Gila,2017,23,
04,Arizona,04007,Gila,2018,16,
04,Arizona,04007,Gila,2019,20,
04,Arizona,04007,Gila,2020,19,
04,Arizona,04007,Gila,2021,15,
04,Arizona,04007,Gila,2022,8,
04,Arizona,04007,Gila,2023,21,
04,Arizona,04009,Graham,2005,35,
04,Arizona,04009,Graham,2006,49,
04,Arizona,04009,Graham,2007,43,
04,Arizona,04009,Graham,2008,56,
04,Arizona,04009,Graham,2009,68,
04,Arizona,04009,Graham,2010,54,
04,Arizona,04009,Graham,2011,40,
04,Arizona,04009,Graham,2012,34,
04,Arizona,04009,Graham,2013,26,
04,Arizona,04009,Graham,2014,21,
04,Arizona,04009,Graham,2015,19,
04,Arizona,04009,Graham,2016,9,
04,Arizona,04009,Graham,2017,12,
04,Arizona,04009,Graham,2018,Suppressed,
04,Arizona,04009,Graham,2019,Suppressed,
04,Arizona,04009,Graham,2020,0,
04,Arizona,04009,Graham,2021,Suppressed,
04,Arizona,04009,Graham,2022,Suppressed,
04,Arizona,04009,Graham,2023,Suppressed,
04,Arizona,04011,Greenlee,2005,7,
04,Arizona,04011,Greenlee,2006,15,
04,Arizona,04011,Greenlee,2007,Suppressed,
04,Arizona,04011,Greenlee,2008,7,
04,Arizona,04011,Greenlee,2009,11,
04,Arizona,04011,Greenlee,2010,7,
04,Arizona,04011,Greenlee,2011,11,
04,Arizona,04011,Greenlee,2012,Suppressed,
04,Arizona,04011,Greenlee,2013,6,
04,Arizona,04011,Greenlee,2014,Suppressed,
04,Arizona,04011,Greenlee,2015,Suppressed,
04,Arizona,04011,Greenlee,2016,0,
04,Arizona,04011,Greenlee,2017,0,
04,Arizona,04011,Greenlee,2018,Suppressed,
04,Arizona,04011,Greenlee,2019,0,
04,Arizona,04011,Greenlee,2020,Suppressed,
04,Arizona,04011,Greenlee,2021,Suppressed,
04,Arizona,04011,Greenlee,2022,0,
04,Arizona,04011,Greenlee,2023,0,
04,Arizona,04012,La Paz,2005,19,
04,Arizona,04012,La Paz,2006,17,
04,Arizona,04012,La Paz,2007,Suppressed,
04,Arizona,04012,La Paz,2008,21,
04,Arizona,04012,La Paz,2009,17,
04,Arizona,04012,La Paz,2010,11,
04,Arizona,04012,La Paz,2011,17,
04,Arizona,04012,La Paz,2012,Suppressed,
04,Arizona,04012,La Paz,2013,6,
04,Arizona,04012,La Paz,2014,Suppressed,
04,Arizona,04012,La Paz,2015,Suppressed,
04,Arizona,04012,La Paz,2016,8,
04,Arizona,04012,La Paz,2017,6,
04,Arizona,04012,La Paz,2018,6,
04,Arizona,04012,La Paz,2019,Suppressed,
04,Arizona,04012,La Paz,2020,Suppressed,
04,Arizona,04012,La Paz,2021,Suppressed,
04,Arizona,04012,La Paz,2022,Suppressed,
04,Arizona,04012,La Paz,2023,Suppressed,
04,Arizona,04013,Maricopa,2005,"4,373",
04,Arizona,04013,Maricopa,2006,"4,118",
04,Arizona,04013,Maricopa,2007,"4,268",
04,Arizona,04013,Maricopa,2008,"4,850",
04,Arizona,04013,Maricopa,2009,"5,463",
04,Arizona,04013,Maricopa,2010,"5,315",
04,Arizona,04013,Maricopa,2011,"4,816",
04,Arizona,04013,Maricopa,2012,"4,540",
04,Arizona,04013,Maricopa,2013,"3,646",
04,Arizona,04013,Maricopa,2014,"3,409",
04,Arizona,04013,Maricopa,2015,"2,979",
04,Arizona,04013,Maricopa,2016,"2,180",
04,Arizona,04013,Maricopa,2017,"2,129",
04,Arizona,04013,Maricopa,2018,"2,095",
04,Arizona,04013,Maricopa,2019,"1,835",
04,Arizona,04013,Maricopa,2020,"1,142",
04,Arizona,04013,Maricopa,2021,"1,120",
04,Arizona,04013,Maricopa,2022,"1,433",
04,Arizona,04013,Maricopa,2023,"1,529",
